gene_display,gene_canon,rank_logreg,rank_wilcoxon,pct>0_ROC,pct>0_other,mean_ROC,mean_other,log2FC(ROC-other)
pltp.L,pltp,3,19,0.1989795918367347,0.0036145504883488425,0.30106034874916077,0.003413354977965355,0.29764699935913086
nid2.L,nid2,4,12,0.8928571428571429,0.08697992770899023,3.2699272632598877,0.13753917813301086,3.132388114929199
lpar3.L,lpar3,9,56,0.7142857142857143,0.025532569407059908,1.6008070707321167,0.03221294656395912,1.5685940980911255
sp9.L,sp9,10,90,0.6428571428571429,0.010151503499192494,1.8182107210159302,0.013926814310252666,1.804283857345581
fgf7.L,fgf7,14,97,0.6224489795918368,0.012535568714911943,1.3650798797607422,0.017214732244610786,1.347865104675293
krt.L,krt,30,112,0.45408163265306123,0.007075290317619011,1.1178661584854126,0.00971011258661747,1.1081560850143433
cpa6.L,cpa6,54,108,0.6071428571428571,0.012997000692147966,1.2099541425704956,0.013705692254006863,1.1962484121322632
fgf9.L,fgf9,55,96,0.6275510204081632,0.017303699146350843,1.1943327188491821,0.022687828168272972,1.171644926071167
tinagl1.S,tinagl1,60,100,0.6326530612244898,0.03022379450895947,1.1557016372680664,0.041596420109272,1.114105224609375
rspo2.L,rspo2,65,157,0.5459183673469388,0.01584249788510344,1.1215215921401978,0.020881768316030502,1.100639820098877
fbn2.L,fbn2,85,248,0.28061224489795916,0.06890717526724602,0.5038151741027832,0.08904554694890976,0.41476961970329285
dlx2.L,dlx2,91,192,0.4744897959183674,0.02599400138429593,0.8785155415534973,0.03565993160009384,0.8428556323051453
pzp.L,pzp,95,411,0.3520408163265306,0.023533030839037145,0.628451943397522,0.029772212728857994,0.5986797213554382
sema3f.L,sema3f,96,310,0.4336734693877551,0.03614550488348842,0.7133321166038513,0.04591847211122513,0.6674136519432068
lef1.L,lef1,103,134,0.5663265306122449,0.09028685687918173,0.9751375317573547,0.11499283462762833,0.8601446747779846
jag1.L,jag1,107,160,0.5663265306122449,0.04883488425747904,1.1104826927185059,0.06056666374206543,1.0499160289764404
egfl6.L,egfl6,110,21,0.6989795918367347,0.037991232792432515,1.586438536643982,0.04990585148334503,1.5365326404571533
bmp5.L,bmp5,121,424,0.336734693877551,0.013919864646620012,0.7065050601959229,0.020074229687452316,0.686430811882019
loc100492954.L,loc100492954,128,315,0.00510204081632653,0.00838268091978774,0.0038093598559498787,0.01007967907935381,-0.006270319223403931
vwde.L,vwde,145,74,0.6887755102040817,0.03545335691763439,1.5425546169281006,0.04548119753599167,1.4970734119415283
fgfr4.L,fgfr4,149,152,0.5714285714285714,0.04075982465584865,0.9798551797866821,0.04893811419606209,0.9309170842170715
unc5b.L,unc5b,216,93,0.6683673469387755,0.07852034145966315,1.371799349784851,0.09748052805662155,1.274318814277649
frem2.L,frem2,346,27,0.8775510204081632,0.14565869414750443,2.3593406677246094,0.30091363191604614,2.058427095413208
igfbp2.L,igfbp2,480,48,0.3979591836734694,0.017918941782665537,0.6972748041152954,0.0219691451638937,0.6753056645393372
